id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
1222_894,4,2010,,,50.0,1.0,0.0,0.0
1222_894,4,2015,,,50.0,1.0,0.0,0.0
1222_894,4,2017,,,50.0,1.0,0.0,0.0
1223_454,4,2000,,,50.0,1.0,0.0,0.0
1223_454,4,2005,,,50.0,1.0,0.0,0.0
1223_454,4,2010,,,50.0,1.0,0.0,0.0
1223_454,4,2015,,,50.0,1.0,0.0,0.0
1223_454,4,2017,,,50.0,1.0,0.0,0.0
1223_508,4,2000,-0.9702855854613135,0.3575547601924922,28.5,0.15327952768294986,2244.962273514355,-5.548017770621425
1223_508,4,2005,2.5506764977932153,0.01890861394362461,62.5,0.41448613410576296,2244.962273514355,0.8233317156847868
1223_508,4,2010,2.905882422446936,0.008981576086032766,77.5,0.0663495105323919,2244.962273514355,0.99142273336428
1223_508,4,2015,-1.2324751370363407,0.2731771806819257,31.5,0.2209383750446412,2244.962273514355,-7.37718511081195
1223_508,4,2017,-0.4124274567937999,0.6937528141195942,33.5,0.27676572286017653,2244.962273514355,-0.568929197325776
1223_716,4,2000,0.12639695208011506,0.902682932227895,43.5,0.6832646883573559,129.308185340751,-1.6214142060145758
1223_716,4,2005,-1.2252424193597553,0.275296590787657,30.5,0.19634372137988876,129.308185340751,-9.960522053833035
1223_716,4,2010,2.5176027931205387,0.019231747911170962,71.5,0.15327952768294986,129.308185340751,1.7569282290323895
1223_716,4,2015,0.442972668084068,0.6690718556998778,54.5,0.7856157447765455,129.308185340751,1.5027604232000196
1223_716,4,2017,-1.0793071412825306,0.3248141418722205,34.5,0.307900293130149,129.308185340751,-10.020538711114106
1223_894,4,2000,,,50.0,1.0,0.0,0.0
1223_894,4,2005,,,50.0,1.0,0.0,0.0
1223_894,4,2010,,,50.0,1.0,0.0,0.0
1223_894,4,2015,,,50.0,1.0,0.0,0.0
1223_894,4,2017,,,50.0,1.0,0.0,0.0
1224_180,4,2000,,,50.0,1.0,0.0,0.0
1224_180,4,2005,,,50.0,1.0,0.0,0.0
1224_180,4,2010,,,50.0,1.0,0.0,0.0
1224_180,4,2015,,,50.0,1.0,0.0,0.0
1224_180,4,2017,,,50.0,1.0,0.0,0.0
1224_454,4,2000,,,50.0,1.0,0.0,0.0
1224_454,4,2005,,,50.0,1.0,0.0,0.0
